time,x,y,z,yaw,ctrl_comp_time,x_ref,y_ref,z_ref,yaw_ref,throttle,roll_rate,pitch_rate,yaw_rate
5.000495195388794,-0.00032469158759340644,-0.023843953385949135,-1.6676843166351318,-0.1954832759372908,0.0003921985626220703,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.010199785232544,-0.004123968537896872,-0.024050120264291763,-1.6945137977600098,-0.20338605212306665,0.0006809234619140625,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.020268678665161,-0.00599324656650424,-0.02412276528775692,-1.7080020904541016,-0.207151952099201,0.0007550716400146484,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.030256032943726,-0.007836829870939255,-0.0241796113550663,-1.721529483795166,-0.21104721668300236,0.0005314350128173828,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.040188550949097,-0.009739920496940613,-0.023917073383927345,-1.7346289157867432,-0.2148045312810209,0.00047516822814941406,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.050309181213379,-0.013463424518704414,-0.023360013961791992,-1.7610149383544922,-0.22186156904161097,0.0007736682891845703,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.0602312088012695,-0.015283710323274136,-0.023065639659762383,-1.7743544578552246,-0.2250693667182223,0.0007660388946533203,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.070245027542114,-0.017077729105949402,-0.022761628031730652,-1.787825345993042,-0.22805395293864078,0.0005340576171875,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.080246925354004,-0.018847063183784485,-0.022448590025305748,-1.8014404773712158,-0.23081333064303017,0.0005285739898681641,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.090172529220581,-0.022350523620843887,-0.021795935928821564,-1.8291187286376953,-0.235663046343954,0.0004994869232177734,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.100368499755859,-0.024088820442557335,-0.021456165239214897,-1.843179702758789,-0.2381074790899243,0.00041794776916503906,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.110241889953613,-0.02581082098186016,-0.02110765129327774,-1.8573851585388184,-0.2403291336174889,0.0005707740783691406,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.120150327682495,-0.027519186958670616,-0.02075020782649517,-1.8717308044433594,-0.2423132492278695,0.00045990943908691406,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.1302618980407715,-0.030906284227967262,-0.02000860869884491,-1.9008264541625977,-0.2455666394248585,0.0006673336029052734,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.140138387680054,-0.03259102255105972,-0.019624261185526848,-1.9155685901641846,-0.24683632447112347,0.0004489421844482422,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.150258302688599,-0.034274227917194366,-0.019230924546718597,-1.9304349422454834,-0.24786735609888352,0.0005271434783935547,1.0,2.0,-5.0,nan,nan,nan,nan,nan
5.160315036773682,-0.035414740443229675,-0.01867145672440529,-1.9459781646728516,-0.2486647135457863,0.0008497238159179688,1.0,2.0,-5.0,nan,nan,nan,nan,nan
